Label,Text
0,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet
0," haha, yeah i meant mall! -winks back-"
0,aww my son gave me a purple g shock for mother`s day
2, I know!!  effing embarrassing! Eff our lives
2,I`m gettin ready for my trip back to MA...  I don`t wanna leave!
0,is excited about Taylor Swift on wednesday!!!
0," Ooh, cutting. I like you"
0,getting ready for the concert tonight! YAY!
1,"  And to you too, how are you today?"
2,Dangit! I just got my Kiss Album in and it`s the wrong color.
0," wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke"
2,has not finished the bio mols mind map  stupid sheet hid sections from me on the back!
1," Where you at?   No tweeting today? No gardening either, I bet?"
2, well atm anyway i`m only managing cos i have no musical talent ps horrible thing to say bout rove
0, Cheers. Wish I had more fonts to play with
1, We decided I`d probably forget I had it in my pocket and sit on it by accident
2,exhausted and sick... my face is greenish
1,@_kotenok !!  ... maybe they took one look at you and said 'That`s our girl!'
2," 'You guys could have fun in a cardboard box'.. I miss you already, bro."
0,had an awsome salad! I recommend getting the Spicey buffalo chicken salad!
1,Well. The jag just took a **** on my way home from training  I hope it`s just the alternator.
0,OK. break over. Back to the books. Have fun lovelies!  ? http://blip.fm/~5z8da
2,Bored... Some vector ****... Off to work after this class..
1,It`s been 2 days without gas...the gas company turned it off to do maintenance. I can`t cook.
2,Bloody servers are down at work for at least 3 hours. Want to go home now!
1, followed your bro _Vet
2, eeeeeeeeeeeeee i jealous sia i didnt get to seee
1,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc"
0,Had a lovely Mothers Day
1,It`s Friday!!!!....and the sun is out....but I`m working inside.
0," not in this part of Surrey either, feeling quite a bit nippy I must say. Afternoon to you"
0, Bummer I know   LOL  I actually do more partying when i am in school then out of school..I think it somehow helps me..hahaha!
2,I can`t find my camera
2,Bored and lonely at work
1,"is up, slightly later than planned... gunna get this essay done 2day!!"
2,i have no idea wtf im doing
2,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now
2, I`m sorry about your car. I feel for you...
2,Wow. So I hate Staples right now. Majorly. Thanks for being complete fucktards and killing our productivity
2,"gotta buy the second season of  ghost whisperer now, but noo moneyy"
0,"traveling alone makes i meet new people,new circle ..strangers become friends"
1,"Frak. I like sunshine, but I do NOT like heat headaches  shame, because today was lovely otherwise."
1, where`s the love?
0, so neat hearing U on kiddshow today wish I was there
0, Meant to ask how did the other night go? Did you enjoy the fight...did yas have an all-nighter?
1,"Hah! I saw the Wolverine last night!!! Now I can die happy, well not yet though, got a few things to get done first, but was my MoY"
1," LOL, very true. I`ve been keeping an eye out for that - they arent very tech savvy so I`ve been alright thus far"
1,Cavs do it again!!  Oh yea!
0,"Dear Daniel, good news from Nintendo! They want you as a potential Lotchecktester! Hoffentlich wirds was mit der Stelle"
0,Going to IKEA with the roomie so she can shop for her apartment. IKEA is in like my top ten stores that I love
2,and its over now  watch on now? hmmm
0," Oh, he`s hilarious. I`m just commenting on the fact that he`s there so much."
2,ahhh fusterated
2, say hello to Marina Green ... couldn`t participate in Barcelona this weeken
2, it`s definitely worth it; art not withstanding  I hate moving; and hate packing even more..
2,"has spent the last two weeks attempting to grow a beard (from scratch), but fears it may look a bit rubbish...  http://twitpic.com/66tyb"
1,Aaggh!! My blackberry curve took a gash in the screen the day AFTER we get invisible shields in stock. Well it`ll be a good advertisement
1,Hi Everyone miss me much?  muahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh ;)
0, I was hoping I could just drop them into ~/.vim so both Vim and MacVim could share them
2, No. Its a bug  in coding. Go into the forum then do reg. Let me know if that work!
1,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH
0,"_mcfly Haha! Yeah, I heard they that Leicester won  I was home by my self, with a movie, some candy and a pizza.. ! Amazing evening"
1,"_19 I watched a little today! Didn`t know you were sick, you did awesome nonetheless! Hope u feel better"
1,"  Bit of New Scientist, this weeks an last weeks, and Watership Down"
2,Beautiful day on Ocracoke just hope the thunderstorms stay away this afternoon...it`s not looking good
0,mothers day drama was awesome!
0,i`ve got nothing witty to tweet
2,#asylm yay registered but lost all my friends
1,A- on my french paper.
2,tiiiired but i cant sleep
1,OooooOOOOO   but you just said you were dancin at home.  so doesn`t that count?
2, i don`t like to see you like this...  there must be something to make you smile...
0," Okay, cool. Hope you had better dreams than you had last week."
2,um... so I don`t think my text msgs have a 'subject line' ... I fail
2,I hate it when my sweetie has a bad day  http://tinyurl.com/lr22dj
0, I`m come and try to find you and be your fan too
2, Bad rum experience in college - still haven`t recovered
2,": I`m sure lots of that studio equipment was collected analog stuff that can`t be bought anymore.    seriously, condolences."
0, http://twitpic.com/4jazs - Congratulations! You two are adorable. Beautiful ring too!
2,TwitterBerry hates me
2,just woke up...dont want to go into work at 4
1, me tooo
1, What`s for dinner?
1,_carter It says the video is private
2, sorry we didn`t get a chance to chat at #screengrab09. Caught glimpse of you across room but was dragged home prematurely
1, Oh ok..we`re supposed to be going to see Star Trek on Sun for Daves b/day...at least it`s not Shatner
1,Confuzzled
0, Thank you  x
2,LAZZZZZZZZZZZZZZZY MONDAY !! Bank Holiday  Nicole why haven`t u direct msged me yet ?!!!
0,"finally gave twitter a try, will find out why is it sooo popular ... hope i wont be too hooked"
0, _Yogini _My_Soles  i am sooo jealous  in a good way of course.  LC is awesome.
0,I wish I could go back to bed with 
0,my dad and i totally just rocked out to the offspring-pretty fly for a white guy. haha.
2,had a 100% raw day
2,Studying for my exams....boring
1, me neither
2,"Just got finished watching marley and me, and I cried like a **** baby...I`m missing my beast like crazy!"
2,want to see him so badly
0, most likelyy. Just need to save the money and practice my **** off.
1, morning you
2,I wanna longboard but it`s raining ughhhhhh
2,Mourning Venus` Third Round Loss....
1,big hair rock day today me thinks  here I go again to start xxxxx ? http://blip.fm/~5z4p7
1,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
0, really?  wooooo! I wish i could go to indonesia! Lol. Hopefully next summer.
1,if not impossible
1, look at my background that`s how I want my future date to be like  (well if I ever get him).
0,OMG! i`m almost done with the last block on this quilt! Just a few hours of work left  i can`t wait to meet my goal
1,back to work tomoo  day 1 of 5 it will bee.
0,thanks so much for the discount code. looking forward to trying your pads out
2,_J think so.. although think i am being ignored! not a good day
2,im so tired  &i miss dionee already.
0,good morning twiggas and twitches  http://bbltwt.com/sciif getcha motivation on
2,I knew I should`ve worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat
1, company policy. Has been for the last two places I`ve worked at
2, Definitely grass cutting   Cole has committed himself to stacking wood for our neighbor as well. Past 2 days set is back too far.
2,twitter is acting weird
1," lol I hear you, I think I watched about 2 - 3 different movies, when I should have been getting work done.  I`ll ttyl girl"
2, O dear. so you`re going to be **** that kiddoe and I`m going to sit there doing..  nothing! awesome  WHERES THE SHOPPING?!<3
2,i`m sad...i`ll miss you grandma angie.. you were always like a 3rd grandma to me..
2,UUUUUGH!!! I HATE I MISSED  INTERVIEW!!! I WASNT AT HOME!!! DARN!!!
2,**** EM
0,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!
2, I never was good at platform games...
1,Gotta love nasty weatherrrrr.  so jealous ur at knotts
1,looking at tabs for all of the 'Boys Like Girls' songs
0, YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?
2,i`m sick of waking up and feeling exhausted
2,all these follow fridays make me feel really unpopular
1,HEY TWEETERZ. GO ON ITUNES NOW & BUY  and _cabrera `s NEW HIT SINGLE 'TELL IT LIKE IT IS'
2,"Assfuck, 'I`m sorry' roll. Okay I gave in.  I`m such a sucker.  http://twitpic.com/677xt"
2, now cash u kno I`m not a hater.....jus upset I don`t have my update yet
0, I just found out about the giveaway.. I wish I would have known sooner  What happens with the unclaimed cities?
1, Oh my goodness!  How AWFUL
0,"-- I won`t feel guilty and like I should be revising stuff after today, haha"
2,Migranes suck....Especially when the kids are suddenly hyper.
0,"Going to bed, busy day tomorrow...Happy Mother`s Day Madre! Te Amo!"
1, I don`t remember cause I was watching so many on youtube... LOL will get back to you
1,...No more adventure time
0," Thanks for asking, Sarah  I am glad tomorrow (5th) is a holiday here in Korea. I will have some rest and I will be right as rain."
2,"got up at 8 today, and also misses his friend "
